Code,Text
ARIN,The basic approach to detect outliers is to find large non-globular clusters and define all the very small clusters outside of them as outliers. PAM Partitioning Around Medoid algorithm is used for this purpose. The PAM algorithm has the drawback of high computation complexity which has a direct impact on the speed of anomaly detection. This complexity raised due to the huge number of computations required during anomaly detection. 
ARIN,This paper focused on improving missing value handling procedures for efficient clustering and classification and to predict the future crime. A major challenge facing all law-enforcement and intelligence-gathering organizations is accurately and efficiently analyzing the growing volumes of crime data. As information science and technology progress sophisticated data mining and artificial intelligence tools are increasingly accessible to the law enforcement community. These techniques combined with state-of-the-art Computers can process thousands of instructions in seconds saving precious time. In addition installing and running software often costs less than hiring and training personnel. Computers are also less prone to errors than human investigators especially those who work long hours. 
ARIN,we study the application of fuzzy association rule mining for community crime pattern discovery. Discovered rules are presented and discussed at regional and national levels. Rules found to hold in all states be consistent across all regions and subsets of regions are also discussed. A relative support metric was defined to extract rare novel rules from thousands of discovered rules. Such an approach relieves the need of law enforcement personnel to sift through uninteresting obvious rules in order to find interesting and meaningful crime patterns of importance to their community. 
ARIN,Following are several current trends in crime analysis: Geospatial map-based visualization. Geographical clustering of crime activity such as identifying hot spots. Serial criminal behavioral pattern profiling and criminal career analysis. Gang criminal network analysis. Data stream anomaly novelty or outlier detection. Temporal analysis of crime patterns such as crime sprees temporal association of crime from an individual or group. Linking threats to risk of critical infrastructure based on vulnerability assessments. 
TECH,Knowledge discovery is one accepted tool for identifying underlying novel patterns in large volumes of crime data. For example association rule mining has become a prominent method for performing knowledge discovery on large transactional databases. 
ARIN,Research efforts for mining crime patterns have recently increased focusing on a variety of approaches. For example knowledge discovery was performed by mining association rules training a classifier for prediction and utilizing clustering methods in takes a geospatial approach at discovering crime patterns by clustering and displaying regional crime on a map. The k-means clustering algorithm was coupled with an attribute importance- weighting algorithm to cluster crimes by type. 
ARIN,A limitation of association rule mining is that it only works on binary transaction data i.e. an item was either purchased in a transaction 1 or not 0. In many real-world applications data is either categorical e.g. blue red green or quantitative e.g. number of murders. For numerical and categorical attributes Boolean rules are unsatisfactory. Extensions have been proposed to operate on these data such as quantitative association rule mining. 
ARIN,Rare association rule mining is a newer and less well understood discipline than frequent association rule mining. One of the approaches to rare association rule mining is to use the same algorithms as for frequent item mining such as Apriori while selecting a low minimum support. Setting minsup very low causes a combinatorial explosion in the number of generated itemsets and rules. This necessitates the use of rule post-pruning methods which facilitates extraction of interesting rules from a large set. 
METH,Rules are additionally pruned based on their support confidence and lift. Confidence- and lift-based pruning methods are the same for frequent and rare rule mining. Support-based pruning must be different since in frequent rule mining it is usually trivial to find the minimum support that is adequate for the entire data set. In contrast rare rule mining requires setting the minsup to low causing a combinatorial explosion of the number of rules. 
METH,Five variables were redefined by computing their values per 100k population: People in Homeless Shelters Homeless People Counted in Street Murders Robberies and Assaults. The transformed data was used in the study. In the remainder of this paper when referring to the variables computed per 100k population we will use their proper names. For example we will refer to Violent Crimes instead of Violent Crime Per 100K Population. 
METH,Rule post-pruning is concerned with pruning rules after they have been generated by an algorithm such as Fuzzy Apriori. We are post-pruning rules based on 60 fuzzy confidence. 
METH,As the number of communities within each region differs minimum supports were calculated for each region based on the support of a rule occurring the same number of times within that region. This unifies support across regions for reliable comparison of rule measures and facilitates discovery of consistent rules across all or subsets of the five US regions. 
ARIN,All data was used in this experiment which included 2215 communities located throughout the US. Fuzzy Apriori was run with confidence 60 and support 0.135. A total of 13657 rules were generated. Post-pruning using a Relative Fuzzy Support of 1.0 reduced this number to a much more manageable number of 657 rules of interest. This represents a 95.2 reduction in the number of rules. 
METH,Rules generated from each region's data set were analyzed to measure consistency of discovered frequent patterns across all regions and region subsets. Rules represented by multiple regions are considered more general with generality increasing with the number of matched regions. Therefore a consistent rule can range from occurring across only two regions to occurring across all regions. Additionally rules unique to each region were identified to provide more fine-grained regional trends. 
ARIN,Fuzzy association rule mining has proven useful for this crime application and has utility for other crime-related data sets. To the knowledge of the authors this is the first experimental study of applying fuzzy association rule mining to a crime data set. Results presented in this paper suggest that further analysis is required to gain a closer understanding of crime at both the community and national levels. 
ASSES,In this approach the need for modeling of counter-terrorism information defines certain tasks whose multiplicity is determined by lack of integrity and fragmented knowledge available through the relevant research on the subject. A single set of tasks aimed at solving this problem includes: – development of theoretical and methodological fundamentals of information counteraction to terrorism and extremism – substantiation of the benefits of the modeling method when studying terrorism and extremism as a social phenomenon – articulation of the factors and conditions of occurring terrorism and extremism in the social and informational environment to formalize the parameters of the information counteraction model – analysis of methods of information counteraction to terrorism and extremism – study of the structure and content of the information counteraction occurring in terrorist and extremist activities in the social environment – development of models of informational influence control and counteraction in the social environment – study of models in order to create optimal control social and information influences to reduce the existing threats of terrorism and extremism. Solution of these tasks will allow for future development of science-based management decisions on information counteraction to terrorism and extremism through the preservation of the qualitative characteristics of information and cultural environment of the society as well as for development of ideas for improving counter-terrorist and counter- extremist policy based on the research conducted. 
FEAS,The modeling issue in this subject area is complicated by the limited nature of open and available information complexity of formalization of many components of information influence as well as the complexity of simultaneous consideration of multiple factors including random ones affecting the results of information counter-terrorism. 
FEAS,Development of the information counteraction model is focused on the effectiveness of planning and predicting threats to take near-term mid-term and long-term measures. At the model study stage one can assess a potential threat of terrorist actions coordinate efforts at all levels of management and social life to develop reasonable counter-terrorism methods. 
PRED,In other words data mining involves the systematic analysis of data using auto- mated methods in an effort to identify meaningful or otherwise interesting pat- terns trends or relationships in the data. Crime and criminal behavior including the most aberrant or heinous crimes fre- quently can be categorized and modeled a characteristic used successfully in the apprehension of serial killers and child predatorsas well as drug dealersrobbers and thieves. So it s no surprise that data mining and predictive analytics are rapidly gaining acceptance and use in the applied public safetysecurityand intelligence setting given their ability to process large data sets and identify actionable patterns and trends. In particular the areas of force deployment and homeland security have emerged as early adopters of this technology. 
FEAS,Unfortunately the translation from business to applied law enforcement and intelligence has been neither straightforward nor easy. Significant chal- lenges associated with data quality and the need for operationally actionable output has limited widespread use.Although variedmost of the chal- lenges fall into two categories: data and output. 
FEAS,Fundamental issues associated with the fact that most if not all public safety and intelligence data resources were collected for reasons other than analysis seriously limit the ana- lyst s ability to extract meaningful output from these data. Moreover it is difficult if not impos- sible to anticipate the array of data resources that analysts will encounter during the course of their work. Incident data narrative reports financial transactions telephone records and Internet activity represent only a few of the many and var- ied information resources used in crime and intel- ligence analysis.In additionchallenges associated with reliability and validity plague public safety and intelligence data. Criminals lie witnesses for- get and victims are often too anxious to be reli- able reporters of an incident. Taken together these issues seriously compromise most data that crime and intelligence analysts encounter. 
PRED,In an effort to address these challenges I developed a process model for Actionable Mining and Predictive Analysis for Public Safety and Security actionable min- ing for short which includes the following steps: question or challenge data collection and fusion operationally relevant preprocessing including recod- ing and variable selection identification characterization and modeling public safety and security-specific evaluation and operationally actionable output. 
BPGO,Moreover some of the most important information in an incident report appears in the unstructured narrative portion of the report this includes information relating to modus operandi MO and other important behavioral indi- cators.Unfortunatelyit is this section of the report that also contains misspellingstypographical errorsjargonslangand incomplete and missing information.These as well as other irregularities limit the analysts ability to effectively analyze the data and interpret results. 
BPOP,This phase of the data mining process includes data validationcleaningrecodingand variable selection.This task assumes even greater importance in public safety and secu- rity analysis given the limitations associated with public- safety-related data.To address these issues the actionable mining model divides the preprocessing step into opera- tionally relevant recoding and variable selection. 
BPOP,Recoding.The recoding phase of data preparation includes transformation and cleaning as well as the assessment of data quality. Data recoding also occurs during this step. Most problems or challenges in public safety and security are reducible to an analysis of time space and the nature of the incident or threat. 
BPOP,Finallyrecoding the nature of the incident or threat is use- ful in supporting specifically targeted tactics and strategy. For example you could recode armed robberies of a con- venience store a beauty salon and a dry cleaning store as commercial robberies because they involve robbery of a commercial entity rather than a person. Because the origi- nal incident information comes from various sources it might not use the same terms for similar incidents.To make the most of the data you want to recode the incident descriptions to use the same descriptors for similar incidents. 
BPOP,Similarly academic research is frequently based on solved crimes: The ability to use an array of variables including those related to offender characteristics and attributes can generate models that are enviable in their accuracy and predictive value. These findings although interesting often hold limited value for the applied setting in that they can use data and variables that are not avail- able during an investigation. Therefore in applied data mininganalysts must be aware of the potential operational value of variables as well as their availability. 
ARIN,The statistical algorithms used in data mining generally fall into two groups: unsupervised learning or clustering techniques and rule induction models or decision trees. Selection of a particular algorithm is based on the analy- sis overall goal and the data s specific numeric attributes. Unsupervised learning or clustering techniques group the data into naturally occurring groups or sets based on sim- ilar attributes or features. These techniques can also help detect data that are anomalous or significantly different from the rest of the sample. 
PRED,Rule induction models on the other hand exploit the fact that criminal behavior can be relatively predictable or homogeneous. Analysts can characterize and model spe- cific attributes or behavioral patterns using rule induction modelswhich they can then apply to new data or incidents in an effort to quickly categorize them based on common features or attributes.This use is similar to the scoring algo- rithms used to predict risk in the financial industry.These models can be based on empirically determined clusters identified using unsupervised learning techniques or those predetermined by the analyst. 
FEAS,Data mining technology also has tremendous potential in homeland security to support early identification and prevention of possible terrorist attacks.The next example involves the use of data mining and predictive analytics to detect characterize and model a potential threat in sup- port of infrastructure protection 
METH,There is many ways to detect the moving object. A common method is by comparing two or more image sequences. Comparing image by analysing all of image pixel is known as frame differences method. Template matching is a technique that used to determine the reference image. Reference image that determined dynamically is known a dynamic template matching. 
TECH,The scope of the project was to help build a collaborative decision-support system portal where spatial planning professionals could learn about designing much more secure and safer spaces in urban areas. The portal achieved this via inte grating a number of tools under a common simple to use interface 
METH,The potentially useful data aggregation exercise starts with the use of the vari ous open data sources which are provided as part of the open government movements globally. The heterogeneous nature of the data can be improved via a data normalisation process. This converts all data to a common schema. 
METH,the data is semi-structured and therefore con cepts from NoSQL databases can be adopted. Thus all sources of data are analog ous to a function which maps from space-time to a series of values. Data collection is performed using a periodic process which polls the data source for any changes. 
TECH,An advanced Knowledge Discovery System KnowDS that can aggregate open data provided on the cloud has been developed in this study following the progress made in the DESURBS project. The system partially structures the data in terms of a common schema and provides methodologies for updating and analysing urban data. Furthermore the use of common external API allows applications to be built efficiently on top of the system 
TECH,The core implementation is primarily based on open source technologies and languages. The core technologies include Python PostgreSQL PostGIS Django and Apache. 
FEAS,As a consequence two case studies using the new framework were considered. Firstly a UK crime web-browser which allows data analytics performances at various granularities of crime types while correlating crimes across various UK cities has been achieved. Secondly a mobile application which enables to gen erate reports on citizens perception of safety in urban zones has also been de veloped. The two applications were efficiently built under the new design framework and they clearly demonstrate the capacity of the new system while they actively generate new knowledge about safety in urban spaces. 
TECH,The Police crime application examines crime data in 13 major UK cities based in the South of England the Midlands the North of England and Greater London. The processing tools of this application allow comparison and visualisation of different crime types at various levels of spatial granularities and zoom levels. Additionally analytics are performed on the data to allow quantified on-demand statistical comparisons of specific urban crimes and type of crimes across UK cities. 
TECH,Firstly there is a tool that aggregates the normalised crime data for a specific crime-type and produces a heat map as a result. The output is archived within the data-store to reduce processing load. Secondly there are raw crimes data which are exposed as a JSON object. This can be used to create maps on the client side. Thirdly analytics are per formed to cross-correlate various types of crime with each other. The results of the analysis are equally exposed via JSON. Finally a simple aggregate of crimes at a given specific location and level of zoom is presented via a JSON object. 
TECH,The Police application front-end visualisation UI is a browser driven tool that can visualise vari ous crime points and intelligent statistics on maps with cross-comparisons between different crime areas e.g. city neighbourhood or postal code level. 
TECH,YourSafe is built to allow users to report their perception of safety within urban spaces. The aim is to show that end users can become a sustainable source of information about geospatial perception of safety in urban spaces. At the same time such application can implicitly lead to making local urban spaces safer. 
TECH,The tool provides a sample visualisation of reports and crime data at a given location. Thus a pair of modules are written to perform a spatial query to return results via JSON. In addition there are tools related to user management. Specifically creation and deletion of users lead to updates to the underlying data store. 
METH,The essence of the design was to decouple the data gathering data analysis and data visualisation parts. The data ga thering phase consists of a number of independent adapters which can ingest data into a data-store. Additionally the history of the dataset is maintained and enabled to que rying over historical data. This component of the framework is a data repository simi lar to a source code repository. 
TECH,This survey indicates the capabilities of modern software in the context of functionalities planned to be implemented in the SM4Public system prototype. The related project is aimed at the con struction and implementation of the innovative system prototype based on the Video Con tent Analysis algorithms that will ensure the safety of various public spaces using real-time solutions and typical computer components. The idea of the project was raised during the development of the previous system entitled SmartMonitor. 
TECH,the main planned advantages of the SM4Public system prototype are high customizability and adaptability of system opera tion. According to that SM4Public system will be able to work under scenarios specific for public spaces such as scenarios associated with vehicle traffic e.g. failing to stop at the red light accident detection infrastructure protection e.g. devastation or theft detection 
TECH,The industry and academics being motivated by the availability of powerful and low cost computing hardware have developed the key technologies for intel ligent surveillance such as object tracking. 
ASSES,This paper presents a novel technique based on machine learning and particle filtering to detect and track the humans in video. The humans are detected in video frames using the object detection framework proposed by Viola et al. reduces the training time of the human detector. Earlier detection of the objects simplifies the process of tracking and sheds the load of detection from tracker. In addition the exhaustive dataset used for training the detector makes the system to be able to detect and track the multiple objects in critical lighting conditions in dynamic background. 
ARIN,After computation of integral image representation we have used adaptive boosting technique for training of the human detector system. The main motivation for using Haar-like features is their easy evaluation. Since extracting evaluating the required features from training data is a challenging task and this becomes even more complex and cumbersome when the size of training dataset is very large. With Haar-like features the concept of Integral Image facilitates easy and fast calculation of features and considerably reduces the computation effort. So we have opted to use Haar-like features. 
METH,For tracking purpose particle filter has been used. In the proposed approach uncertainty about human's state position is represented as a set of weighted particles each particle representing one possible state. The filter propagates particles from frame i-I to frame i using a motion model computes a weight for each propagated particle using an appearance model then re-samples the particles according to their weights. The initial distribution for the filter is centered on the location of the object detected first time. 
ARIN,We used a machine learning approach for object detection based on Haar-like features originally proposed by Viola et al.. The training is performed using binary adaptive boosting to speed up the process. We have collected positive and negative image samples for training. The positive images are those that contain the humans and negative images are those that do not contain any human object. 
METH,We define a motion model for predicting the position of a human object from frame to frame We use a second-order auto-regressive dynamical motion model for object's position prediction in frames. Non-Gaussian noise is considered in our motion model by a random noise variable. In this autoregressive motion model we assume the next state of the system as a function of some previous states and a noise random variable 
METH,Over a period of time the highest weighted particle may tend to a weight of one and the weights of other particles may tend to zero. To avoid this degeneracy in weights the particles are re-sampled. In re-sampling many of the low weight particles are removed and higher-weight particles are replicated in order to obtain a new set of equally-weighted particles. We use the re-sampling technique as described in 
TECH,After applying the proposed method on a set of several videos we found that the average detection and tracking accuracy of the proposed technique is 87.44 and the average execution speed is 18 frames per second 
TECH,Object detection and tracking is the fundamental step in visual surveillance. In this paper we have proposed an automatic mUltiple human detection and tracking technique using Haar-Iike features and a simple particle fIlter. The human detector can easily be trained using the Haar-like features extracted from the training samples consisting of the images of the humans and the background. The operation of the proposed technique is fully automatic and does not require any operator intervention unlike other methods. 
ARIN,a novel real-time abnormal motion detection scheme. The algorithm uses the mac roblock motion vectors that are generated anyway as part of standard video compression methods. Mo tion features are derived from the motion vectors. Nor malactivity is characterized by the joint statistical dis tribution of the motion features estimated during a training phase at the inspected site. During online op eration improbable-motion feature values indicate abnormal motion. Relying on motion vectors rather than on pixel data reduces the input data rate by about two orders of magnitude and allows real-time operation on limited computational platforms. 
TECH,Abnormal motion detection is the key to effective and economical video surveillance. The detection of an abnormal motion can trigger video transmission and recording and can be used to attract the attention of a human observer to a particular video channel 
METH,Common video compression schemes exploit both the spatial and the temporal frame-to-frame redun dancy present in the image sequence. A frame is either an intra-frame that is compressed as a full still image eliminating its spatial redundancy or an inter frame represented by macro-block displacement vectors relative to say the previous frame and an error image. Intra-frames are generated at constant intervals to al low random-access to the content and to reduce accu mulated errors. An intra-frame is also provided when there is a significant change in the scene e.g. an edit ing cut so that representation of the current frame in terms of the previous one is inefficient 
ARIN,The suggested abnormal motion detection algorithm was successfully tested at outdoor location. The al gorithm was implemented in C++. The simplicity of the computations and the well-defined dynamic ranges allow fixed-point numerical representation. The code runs on a Pentium 4 2.8GHz PC with a Windows C++ graphical user interface at a rate of 75 frames per sec ond without optimization. 
ARIN,We presented a computationally efficient and reliable method for abnormal motion detection in compressed video streams. The input to the algorithm is the set of macro-block motion vectors as well as intra-frame and intra-block flags that are produced anyway by the compression process - an essential part of many modern video surveillance systems. 
ARIN,We investigate the unsupervised K-means clustering and the semi-supervised hidden Markov model HMM to automatically detect anomalous motion patterns in groups of people crowds. Anomalous motion patterns are typically people merging into a dense group followed by disturbances or threatening situations within the group. The application of K means clustering and HMM are illustrated with datasets from four surveillance scenarios. 
ARIN,With automatic crowd analysis it is possible to foresee different states of the crowd including crowd size crowd density crowd flow crowd speed and anomalous motion patterns e.g. riots robberies and fights. Automatic crowd analysis can improve the possibilities for an operator to detect at an earlier stage important events in the often very large amount of information from sensor data. The outcome of threatening and dangerous situations can then be mitigated or even avoided. 
ARIN,In this paper we propose to use K-means clustering and HMM to detect anomalous motion patterns in dense crowds. The anomalous motion patterns are based on merging and splitting of groups as well as internal interactions within dense groups. 
TECH,The objective of this paper is to study unsupervised K means clustering and semi-supervised HMM for detection of anomalous motion patterns in crowds. For crowd surveillance in urban environments the context is important e.g. time of day time of week time of year and weather conditions. However if the anomaly detection algorithm is conditioned on the context to a large extent the algorithm can often be used only in that specific context. The less prior information we can use the more generic can the algorithm become. With K means clustering and HMM the aim is to minimize the amount of prior information while still getting enough information from the sensor data. 
ARIN,The HMM is a machine learning algorithm that has been used for pattern recognition in many different applications e.g. speech recognition text recognition and motion recognition. The algorithm consists of two stochastic processes. The underlying hidden process can not be observed directly but indirectly through a second stochastic process which produces sequences of observations. The states represent some unobservable condition of a system. 
ARIN,Cluster analysis is used for segmenting a collection of objects into clusters based on information found in the data. The data describes the objects as well as their relationships. Within each cluster the members are more closely related to each other than to cluster members who belong to other clusters. A similarity measure is used to estimate the closeness of cluster members in each cluster. In this case we use the squared Euclidean distance. The basic steps in the algorithm are: 1 select K points as initial centroids 2 form K clusters by assigning each point to its closest centroid 3 re-compute the centroid of each cluster and 4 repeat 2 to 3 until the centroids do not change anymore. 
ARIN,The HMM can be used for both supervised and semi supervised anomaly detection. For supervised anomaly detection the HMM is trained on data from both normal situations and different abnormal situations. For semi supervised anomaly detection the HMM is trained only on data from normal situations. An abnormal situation is recognized as a deviation from the expected normal situation but it is not possible to recognize classify the type of abnormal event. 
ARIN,For the detection of people in raw images foreground background segmentation is used which provides a set of detected people represented with ellipsoids. 
ARIN,Input data to the Baum-Welch algorithm are the 760 observation sequences an assumed model topology N and M and initial guesses of the parameters for A B and. . The initial guesses are based on randomly selected probabilities. The Baum-Welch algorithm adjusts the parameters so that the likelihood for obtaining the training data will be maximized. 
ARIN,To study how the detection of dense groups may be influenced by increased position uncertainties for the detected people we have made K-means clustering with different position uncertainties. A dense group can be regarded as an extended object and the sensitivity analysis can be seen as obtaining different detections on the extended object. The position uncertainties are modeled with a uniform distribution for two different intervals i.e.. 2 and .4 of the correct positions. 
ARIN,The Baum-Welch algorithm finds local maxima when searching for the maximum likelihood estimates. It is therefore interesting to see what HMM parameters that are obtained from other initial parameter settings and how these other HMM parameters would influence 
FEAS,How would the approach work for a large crowd A solution could be to divide a large crowd into smaller sub groups where each sub group corresponds approximately to the scenes used in these experiments. The sub groups are then analyzed according to the proposed procedure and the final results are obtained from fusing the decisions from the sub groups. The results corresponded well with the real events in the scenarios. In one case we obtained however false alarms because of occlusion. The risk for occlusion would for example be reduced if there was information from several cameras. In this approach a very accurate detection of each person would not be necessary. Instead we used coarse changes of the group dynamics as indications on anomalous motion patterns. In future work we will investigate in more detail how the signal processing steps before the clustering and HMM may influence on the results. 
ARIN,With the clustering and HMM algorithms we have used a rather limited amount of prior information. For the HMM the prior information was the knowledge of the motion pattern of a calm and normal group based on the dynamics of the cluster shape. For the clustering the prior information corresponded to the approximate number of pixels per person as observed from a certain camera. 
TECH,there are three methods commonly used to detect a motion. Those are background subtraction optical flow and temporal differences. Background subtraction is performed by comparison of an image with the referenced one. This technique employs a static reference image describes the algorithm of background subtraction and frame differences by applying the concept of Sum of Absolute Difference SAD. SAD is used to determine whether there is a movement within an image pair. 
TECH,Support Vector Machine SVM was also applied in the motion detection. The correlation is used after the process of analysing the temporal differences in some of the image frame. The detection of motion was achieved by combining the frame differences technique with optical flow. 
TECH,Research conducted by Yokoyama et al. also applied concept of vectors to movement detection. This method was performed by comparing multiple frames and marks the points of difference between the frames. This method yields information about the direction of movement of the object. 
TECH,Adaptive Safety Analysis and Monitor- ing ASAM tool for assisting US intelligence analysts with: I identifying terrorist threats 2 predicting possible terrorist actions and 3 elucidating ways to counteract terrorist activ- ities. The focus of this paper and an important part of the ASAM tool is modeling and detecting terrorist networks us- ing hidden Markov models HMMs. The HMMs used in the ASAM tool model the time evolution of suspicious patterns within the information space gathered from sources such as financial institutions intelligence reports newspapers emails 
TECH,ASAM system is one among many that will be able to assist in the efforts of home- land security by monitoring large quantities of transactional data and reporting only significant information. The ASAM software will provide a means for gathering sharing under- standing and using information to analyze terrorist networks. This includes coordination referring to the ability to handle information distributed across different government agencies. 
TECH,ASAM addresses the task by learning - where possible -from historical data eval- uating the most likely sequence of events and predicting fu- ture events. Note that it is not a coincidence that these three problems are the same three problems addressed by HMMs. HMMs are a principal method for modelling stochastic pro- cesses and are therefore an ideal way to make inferences about how terrorist networks evolve. In addition to the task dis- cussed the ASAM tool also provides measures for counter- terrorism. 
PRED,The lowest level corresponding to the physical layer in open systems interconnect terminology is powered by Hidden Markov models HMMs and information from these propagates upward to subordinate dynamic Bayesian networks sub-DBNs and eventually to an over-arching DBN structure that models all terrorist activities. Each sub-DBN contains a different terrorist model and the cul- mination of all of the sub-DBNs - itself a DBN - will be used to evaluate the total probability of terrorist activity. It is impor- tant to note that the Hidden Markov models HMMs function in a faster time scale than DBNs: since the Hidden Markov models HMMs model the evolution of the transaction space they process new information every time a transaction occurs. In other words each Hidden Markov models HMM can be viewed as a detailed stochastic time-evolution of a particular node represented in the DBN. Data sent from the HMMs to the DBNs also known as soft evidence is the probability of observing the incoming data given a model of a terrorist network. 
TECH,The input to the ASAM software will be a series of trans- actions and patterns generated by the Evidence Extraction and Link Discovery EELD another US government funded project. Provided that the transactional evidence is continual the ASAM software will monitor possible terrorist activity by comparing its terrorist network models with the incoming data via model-based probabilistic graph matching a method for measuring the correlation between a state model graph and an input graph EELD data given their statistical descriptions. As we shall see the state model graph represents the network model for one state of an HMM: if an HMM has ten states then it has ten different state models. Simply put the state model graphs are snapshots of the evolving terrorist network. Much like these the input graphs are snapshots of the evolving transaction space. 
PRED,A hidden Markov model is a type of stochastic signal model used to evaluate the probability of a sequence of events de- termine the most likely state transition path and estimate pa- rameten which produce the best representation of the most likely path. 
PRED,Our work is based on the Hidden Markov Models - HMM that represent a compact characteristic of analyzed sounds. The system solution proposed by us is focused on the security or audio surveillance urban environment banks air- port etc. applications. Its first phase is dedicated to abnor- mal sounds gun shots and breaking glass detection. After the successful gunshot detection the gun type classification phase follows. It is possible to recognize four types of gun in this phase. 
ASSES,Strategic analysis of criminal behaviour aims at moni- toring the implementation of strategies and the successful adaptation to change from which over time we can see the development of co-offending networks. In the Intelligence arena the analysis of those networks represents a central tool in the analysis of criminal behaviour. 
ASSES,our system design is based on single networks as sub-components whereas an analytical component makes a selection on the interesting networks to display. We set out three broad requirements that we believe are necessary for addressing the strategic analysis of criminal networks. They are: R1 Better capture of the build-up of harmful developments R2 Improve targeting of problematic suspects R3 Monitor the effectiveness of current mitigation strategies Encapsulated in those we find the main relations that are meaningful to the human user of this display. The measure for harmful development is highly dependent upon the force priorities and criminal activity of pairs or groups of offend- ers. Depending on these factors harmfulness can be valued differently at different times or under varying contextual and behavioural conditions. In a similar way the analyst would want to evaluate different strategies to target those people that have been identified to be problematic. 
ASSES,When the system is capable of identifying objects artificial intelligence AI and video interpretation algorithms are capable of detecting abnormal behaviours of those objects mainly using two different strategies: statistical and semantic analysis. 
ARIN,This work aims at providing a solution to this problem by designing and developing an automated video surveillance system suitable for dense deployments in Smart Spaces capable of working with small and cheap cameras small bandwidth and optimizing processing power. The approach followed by the system proposed in this work is based on a three stage processing scheme: first detecting objects in motion at the cameras to avoid sending large video data while at the same time keeping the processing power required by the cameras low avoiding the application of complex resource intensive object identification algorithms second automatically building at the control center a route model of the moving objects in the watched scenes using the movement parameters identified by the cameras and third performing semantic reasoning over the route model and the movement parameters to identify alarms at the conceptual level that is not only identifying that an unusual event is happening but identifying the nature of that event a car crash a fire an intrusion etc.. The work presented along this paper has been carried out within the European project CELTIC HuSIMS Human Situation Monitoring System. 
TECH,Statistical alarm detection simply identifies abnormal behaviours understanding abnormal as things that do not happen frequently according to a certain mathematical criteria so it is impossible for them to fulfill requirement number 2. Systems based on hard-coded interpretations work on the basis of a hard-coded rule engine and do not usually make use of formal semantic technologies. This means that it is necessary to manually modify the specific implementation of the algorithms in the system to port it from one domain to the other if that is feasible at all. 
ARIN,This paper presents a system capable of fulfilling all four design goals. This video surveillance system is based on semantic reasoning for performing the image interpretation so it is possible to easily change the application domain requirement number 4 by specifying an appropriate ontology. Additionally semantic reasoning is performed at a high level of abstraction using human concepts such as .a car should move along a lane. or .there is an alarm if a car is located on a sidewalk. thus fulfilling requirement number 2 
TECH,Thanks to this the only two camera-specific configuration operations required by this approach are: 1 recording camera height and tilt angle at installation time parameters that will help correct perspective distortion and 2 selecting the surveillance domain s to which each camera is applied that is selecting the appropriate ontology ontologies for each camera. 
TECH,Sensing: A sensor network including smart surveillance cameras and other sensors fire and movement detectors for instance is connected with the control center. Cameras run motion detection algorithms to transform the video stream into data packets specifically XML files that contain information about the different moving objects speed position size etc.. 
ARIN,Route Detection: Once the XML file with the data of the moving objects is available trajectories and movement patterns of different objects are processed using an algorithm that builds for each camera a route model of the scene zones of the image where objects usually move enriched with object sources and sinks zones of the image where objects usually appear or disappear. Route Detection is implemented with two internal submodules. First the Frame Preprocessor receives from the camera an XML file with the motion parameters of the objects detected by the camera separates the integrated data in different frames a single file can aggregate several frames to optimize communications corrects the perspective distortion using height and tilt angle values for the source camera by applying a simple Inverse Perspective Mapping and reformats the information in the shape of a raw data matrix. From this data matrix the Route Detection Algorithm using a set of routines implemented in Matlab determines the routes of the scene. Route Detection is performed only when the system is in training mode. 
ARIN,The aim of this stage is to translate the syntactic parameters of objects routes sinks and sources obtained by the cameras and the Route Detection stage into meaningful semantic classes .car. instead of .object. and identify any alert situation a .car is on the sidewalk. according to the ontology and semantic rules a formal knowledge model specified by a human ontology engineer. The Semantic Translation translates the syntactic information into formal semantic data according to Semantic Web standard formats and populates the ontology with them using the Jena framework which handles all the semantic operations done within Java. 
